series_name,dated_date,stated_par,exp_first_year,exp_last_year,n_maturities,n_pages,expected_rows,parsed_par,first_year,last_year,gap_years,coupon_min,coupon_max,yield_min,yield_max,n_below_par,range_ok,is_note,is_refunding,is_taxable,is_school,instrument,money_type,purpose,year
GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,,2028,2046,19,1,,89295000.0,2028.0,2046.0,,4.125,5.0,2.27,4.33,2,True,False,False,False,False,Bond,New money,General / public improvement,2026
SCHOOL SERIAL BONDS-2026B,2026-02-18,,2028,2046,19,2,,25185000.0,2028.0,2046.0,,4.125,5.0,2.27,4.33,2,True,False,False,False,True,Bond,New money,School,2026
GENERAL OBLIGATION SERIAL BONDS-2026C (FEDERALLY TAXABLE),2026-02-18,,2027,2036,10,1,,7080000.0,2027.0,2036.0,,4.09,4.94,4.09,4.94,0,True,False,False,True,False,Bond,New money,General / public improvement,2026
GENERAL OBLIGATION REFUNDING BONDS-2026D,2026-02-18,,2026,2035,10,1,,56870000.0,2026.0,2035.0,,5.0,5.0,2.26,2.8,0,True,False,True,False,False,Bond,Refunding,Refunding,2026
GENERAL OBLIGATION BOND ANTICIPATION NOTES-2025,2025-12-04,,2026,2026,1,1,,5500000.0,2026.0,2026.0,,3.5,3.5,3.2,3.2,0,True,True,False,False,False,Note,New money,General / public improvement,2025
GENERAL OBLIGATION BOND ANTICIPATION NOTES - 2024A,2024-12-06,,2025,2025,1,1,,3000000.0,2025.0,2025.0,,4.0,4.0,3.85,3.85,0,True,True,False,False,False,Note,New money,General / public improvement,2024
SCHOOL SERIAL BONDS-2024C,2024-09-27,,2025,2044,20,2,,13765000.0,2025.0,2044.0,,5.0,5.0,2.35,3.44,0,True,False,False,False,True,Bond,New money,School,2024
GENERAL OBLIGATION SERIAL BONDS-2024D (FEDERALLY TAXABLE),2024-09-27,,2025,2033,9,1,,11455000.0,2025.0,2033.0,,4.3,5.0,4.08,4.55,0,True,False,False,True,False,Bond,New money,General / public improvement,2024
GENERAL OBLIGATION SERIAL BONDS - 2024A,2024-02-21,,2026,2042,17,2,,55680000.0,2026.0,2042.0,,5.0,5.0,2.59,3.5,0,True,False,False,False,False,Bond,New money,General / public improvement,2024
SCHOOL SERIAL BONDS - 2024 B,2024-02-21,,2026,2044,19,2,,26805000.0,2026.0,2044.0,,5.0,5.0,2.59,3.61,0,True,False,False,False,True,Bond,New money,School,2024
GENERAL OBLIGATION BOND ANTICIPATION NOTES 2024,2024-01-10,,2024,2024,1,1,,11457940.0,2024.0,2024.0,,5.5,5.5,5.0,5.0,0,True,True,False,False,False,Note,New money,General / public improvement,2024
GENERAL OBLIGATION SERIAL BONDS-2022F,2022-11-29,,2024,2042,19,2,,67820000.0,2024.0,2042.0,,5.0,5.0,3.03,4.34,0,True,False,False,False,False,Bond,New money,General / public improvement,2022
SCHOOL BONDS-2022G,2022-11-29,,2024,2042,19,2,,9375000.0,2024.0,2042.0,,5.0,5.0,3.03,4.34,0,True,False,False,False,True,Bond,New money,School,2022
GENERAL OBLIGATION REFUNDING SERIAL BONDS-2022B (FORWARD DELIVERY) (NEW YORK STATE SECTION 99-B INTERCEPT PROGRAM),2022-07-21,,2022,2029,8,1,,12045000.0,2022.0,2029.0,,5.0,5.0,1.0,1.9,0,True,False,True,False,False,Bond,Refunding,Refunding,2022
GENERAL OBLIGATION REFUNDING SERIAL BONDS-2022A (FORWARD DELIVERY),2022-06-08,,2022,2031,10,1,,29000000.0,2022.0,2031.0,,5.0,5.0,0.95,1.97,0,True,False,True,False,False,Bond,Refunding,Refunding,2022
SCH-SER D,2022-03-23,,2039,2041,0,1,,0.0,,,,,,,,0,False,False,False,False,True,Bond,New money,School,2022
GENERAL OBLIGATION SERIAL BONDS 2022C,2022-03-23,,2024,2038,15,1,,55990000.0,2024.0,2038.0,,5.0,5.0,1.41,2.66,0,True,False,False,False,False,Bond,New money,General / public improvement,2022
SCHOOL SERIAL BONDS 2022D,2022-03-23,,2024,2042,16,1,,21675000.0,2024.0,2042.0,2039;2040;2041,4.0,5.0,1.41,3.0,0,True,False,False,False,True,Bond,New money,School,2022
GENERAL OBLIGATION SERIAL BONDS 2022E (FEDERALLY TAXABLE),2022-03-23,,2024,2032,9,1,,7080000.0,2024.0,2032.0,,2.1,3.2,2.1,3.2,0,True,False,False,True,False,Bond,New money,General / public improvement,2022
GENERAL OBLIGATION SERIAL BONDS-2021A,2021-02-16,,2023,2036,14,1,,27905000.0,2023.0,2036.0,,4.0,5.0,0.36,1.61,0,True,False,False,False,False,Bond,New money,General / public improvement,2021
SCHOOL SERIAL BONDS-2021B,2021-02-16,,2023,2041,19,1,,33175000.0,2023.0,2041.0,,2.0,5.0,0.35,2.1,2,True,False,False,False,True,Bond,New money,School,2021
GENERAL OBLIGATION SERIAL BONDS-2021C (FEDERALLY TAXABLE),2021-02-16,,2023,2031,9,1,,6095000.0,2023.0,2031.0,,0.6,2.0,0.6,2.0,0,True,False,False,True,False,Bond,New money,General / public improvement,2021
REVENUE ANTICIPATION NOTES-2020/2021,2020-12-10,,2021,2021,1,1,,65000000.0,2021.0,2021.0,,2.0,2.0,0.45,0.45,0,True,True,False,False,False,Note,New money,General / public improvement,2020
