principal,security_description,coupon,maturity_date,initial_price_yield,initial_price,initial_yield,series_name,dated_date,instrument,money_type,purpose,is_taxable,is_school,year
2925000.0,SER A,5.0,2028-02-01,-,105.125,2.3,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
3075000.0,SER A,5.0,2029-02-01,-,107.753,2.27,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
3225000.0,SER A,5.0,2030-02-01,-,110.065,2.32,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
3385000.0,SER A,5.0,2031-02-01,-,112.022,2.41,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
3555000.0,SER A,5.0,2032-02-01,-,113.865,2.48,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
3735000.0,SER A,5.0,2033-02-01,-,115.518,2.55,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
3920000.0,SER A,5.0,2034-02-01,-,116.75,2.65,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
4115000.0,SER A,5.0,2035-02-01,-,115.895,2.76,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
4325000.0,SER A,5.0,2036-02-01,-,115.355,2.83,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
4540000.0,SER A,5.0,2037-02-01,-,114.359,2.96,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
4765000.0,SER A,5.0,2038-02-01,-,113.148,3.12,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
5005000.0,SER A,5.0,2039-02-01,-,112.027,3.27,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
5255000.0,SER A,5.0,2040-02-01,-,111.36,3.36,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
5515000.0,SER A,5.0,2041-02-01,-,110.332,3.5,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
5795000.0,SER A,5.0,2042-02-01,-,109.171,3.66,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
6085000.0,SER A,5.0,2043-02-01,-,108.025,3.82,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
6385000.0,SER A,5.0,2044-02-01,-,107.104,3.95,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
6705000.0,SER A,4.125,2045-02-01,-,98.382,4.25,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
6985000.0,SER A,4.125,2046-02-01,-,97.277,4.33,GENERAL OBLIGATION SERIAL BONDS-2026A,2026-02-18,Bond,New money,General / public improvement,False,False,2026
825000.0,SCH-SER B,5.0,2028-02-01,-,105.125,2.3,SCHOOL SERIAL BONDS-2026B,2026-02-18,Bond,New money,School,False,True,2026
865000.0,SCH-SER B,5.0,2029-02-01,-,107.753,2.27,SCHOOL SERIAL BONDS-2026B,2026-02-18,Bond,New money,School,False,True,2026
910000.0,SCH-SER B,5.0,2030-02-01,-,110.065,2.32,SCHOOL SERIAL BONDS-2026B,2026-02-18,Bond,New money,School,False,True,2026
955000.0,SCH-SER B,5.0,2031-02-01,-,112.022,2.41,SCHOOL SERIAL BONDS-2026B,2026-02-18,Bond,New money,School,False,True,2026
1005000.0,SCH-SER B,5.0,2032-02-01,-,113.865,2.48,SCHOOL SERIAL BONDS-2026B,2026-02-18,Bond,New money,School,False,True,2026
1055000.0,SCH-SER B,5.0,2033-02-01,-,115.518,2.55,SCHOOL SERIAL BONDS-2026B,2026-02-18,Bond,New money,School,False,True,2026
1105000.0,SCH-SER B,5.0,2034-02-01,-,116.75,2.65,SCHOOL SERIAL BONDS-2026B,2026-02-18,Bond,New money,School,False,True,2026
1160000.0,SCH-SER B,5.0,2035-02-01,-,115.895,2.76,SCHOOL SERIAL BONDS-2026B,2026-02-18,Bond,New money,School,False,True,2026
